gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000008874,HUNK,70.01141305,1.143541698,1.892355481,0.000680006,0.153663753
ENSCAFG00000013365,NA,909.3992629,0.17214055,0.239552401,0.000673985,0.153663753
ENSCAFG00000011008,CAMKV,114.7276821,1.179548831,2.373484497,0.000724989,0.160339805
ENSCAFG00000001002,SMPDL3A,2526.446239,1.064193616,2.336383431,0.000799817,0.173695631
ENSCAFG00000014604,NUDT13,205.0247164,-0.165403315,0.341368044,0.000808478,0.173695631
ENSCAFG00000002963,HOXA10,53.19348946,-0.978784018,1.760265386,0.000837904,0.177482128
ENSCAFG00000012077,KCNH1,46.16020387,0.88847456,1.658191545,0.000922632,0.192714666
ENSCAFG00000025324,CLEC4D,41.07591689,0.718289072,1.374930599,0.000965437,0.1988933
ENSCAFG00000002865,NFE2L3,610.6798102,-0.13546938,0.298402048,0.00105927,0.201650109
ENSCAFG00000005852,NA,1177.796975,0.929309482,1.885741828,0.001043722,0.201650109
ENSCAFG00000008664,PLEKHA7,323.1534137,-0.789616778,1.540768167,0.001029696,0.201650109
ENSCAFG00000010599,HYAL1,221.4806981,0.56779004,1.133722416,0.000999684,0.201650109
ENSCAFG00000018931,CIITA,15.47640879,0.827356503,1.637505489,0.001058873,0.201650109
ENSCAFG00000019194,SLC43A2,415.3206504,0.507173436,1.034243198,0.001008041,0.201650109
ENSCAFG00000014645,SLC11A1,5944.369005,0.738986371,1.473977333,0.001084058,0.203789262
ENSCAFG00000007298,TCP11L1,393.9648423,-0.182159509,0.446470587,0.001120302,0.208002771
ENSCAFG00000004160,TNIP3,71.10548978,0.743722763,1.55474841,0.001211446,0.208883501
ENSCAFG00000006031,LIG4,556.469592,-0.12992142,0.315009734,0.001235101,0.208883501
ENSCAFG00000006991,REM1,92.40331971,-0.720247977,1.515565839,0.001233468,0.208883501
ENSCAFG00000014860,CASP4,223.0139503,0.839701954,2.018004694,0.00122153,0.208883501
ENSCAFG00000016875,TTLL6,7.131722038,0.798152668,1.63357565,0.001143304,0.208883501
ENSCAFG00000017765,GRIA1,251.5539278,-0.860551435,1.857714633,0.001185675,0.208883501
ENSCAFG00000017814,ZP2,23.57202825,-0.466805358,1.020851129,0.001215286,0.208883501
ENSCAFG00000047873,NA,109.361516,0.13210885,0.201565346,0.001236161,0.208883501
ENSCAFG00000018777,ENOX2,75.18710223,-0.12600163,0.302841017,0.00125321,0.20941135
ENSCAFG00000008804,MARCHF1,71.27189111,0.524938731,1.182378559,0.001407633,0.232630752
ENSCAFG00000020595,NA,6.666449994,-0.648837024,1.450326332,0.001427344,0.23332412
ENSCAFG00000006116,ARHGEF7,1569.209612,-0.106493573,0.21282969,0.001545841,0.244367879
ENSCAFG00000007401,NA,9.121884324,0.617286757,1.426713254,0.001546677,0.244367879
ENSCAFG00000009812,KCNJ6,21.81104692,-0.201913507,0.545340378,0.001559899,0.244367879
ENSCAFG00000019122,NAGPA,1816.095992,0.257449932,0.664735074,0.001517782,0.244367879
ENSCAFG00000006585,ALOX5AP,224.9631531,0.705303274,1.754041458,0.001596823,0.247573459
ENSCAFG00000012206,ACKR3,115.9116403,0.607347226,1.505519458,0.001786834,0.271436379
ENSCAFG00000031682,NA,78.91453457,0.449496011,1.11255724,0.001772149,0.271436379
ENSCAFG00000018960,CORO6,583.2593249,-0.100101969,0.276520631,0.001831457,0.275432794
ENSCAFG00000023063,APOL5,58.7051365,0.523354774,1.3257295,0.00193218,0.287703503
ENSCAFG00000016880,ATP5MC1,4558.168468,0.100577954,0.185562863,0.001957727,0.288649541
ENSCAFG00000015188,CRKL,1584.68536,0.089375764,0.211950117,0.001985427,0.28989159
ENSCAFG00000007190,CLVS1,40.34658331,0.156141368,0.469319444,0.00200788,0.290351003
ENSCAFG00000005068,KCTD12,639.6368184,0.436525539,1.135373842,0.002032304,0.291084042
ENSCAFG00000014972,NAGLU,3062.091902,0.15344518,0.466257675,0.002067743,0.293365983
ENSCAFG00000015692,KAT2A,2491.460288,0.085977692,0.199872422,0.002157929,0.303299921
ENSCAFG00000023636,PRSS22,56.82136419,0.49775697,1.350887184,0.00225823,0.31445857
ENSCAFG00000001611,IRF5,498.1648913,0.433760989,1.189964846,0.00234549,0.320323363
ENSCAFG00000007935,TRPC1,128.5980668,-0.122126395,0.391603917,0.002321844,0.320323363
ENSCAFG00000008269,IL17RB,54.12996324,-0.361978537,1.014048601,0.002396894,0.320323363
ENSCAFG00000008566,GUCY1B1,1104.607087,-0.438663659,1.221297714,0.002432642,0.320323363
ENSCAFG00000010511,OASL,115.8884636,0.270047729,0.794772381,0.002470743,0.320323363
ENSCAFG00000015021,USP11,9668.524206,-0.078389894,0.222712066,0.002467909,0.320323363
ENSCAFG00000031563,GFY,10.89628351,0.381159169,1.069195088,0.002442179,0.320323363
ENSCAFG00000041655,NA,21.45188189,-0.340473872,0.967485602,0.002450655,0.320323363
ENSCAFG00000000751,TNXB,303.3358835,-0.178767989,0.563699202,0.002506989,0.322244518
ENSCAFG00000006200,PLXNC1,412.5296591,0.272513196,0.808835749,0.00255507,0.325641444
ENSCAFG00000001133,CCN4,44.44406223,-0.478545696,1.404172313,0.002606631,0.326675973
ENSCAFG00000004782,GAB2,1212.900705,0.133353685,0.440547827,0.002589778,0.326675973
ENSCAFG00000019856,TRAPPC2L,1095.44888,0.229964868,0.708595212,0.002654837,0.329967759
ENSCAFG00000004175,C5AR1,1107.045904,0.463873412,1.393652009,0.002738974,0.333107188
ENSCAFG00000004575,ZNF296,572.1494428,0.09706105,0.329740474,0.00273573,0.333107188
ENSCAFG00000014575,TNS1,2920.438325,-0.144495969,0.481707824,0.002747547,0.333107188
ENSCAFG00000029471,CLIC2,27.89503317,-0.390668332,1.146764322,0.002768695,0.333107188
ENSCAFG00000009881,ALAS1,1993.994506,0.093244711,0.319707605,0.002820468,0.336643001
ENSCAFG00000024903,MAFB,1056.866369,0.359899637,1.074348527,0.002873209,0.340237681
ENSCAFG00000008740,CIAPIN1,2560.000848,0.075381043,0.172195505,0.00293936,0.345351878
ENSCAFG00000019493,IGFALS,67.94151982,-0.197330183,0.642707623,0.002965006,0.345664556
ENSCAFG00000016300,PTGER1,9.60186195,-0.269688668,0.840658725,0.002994638,0.346433528
ENSCAFG00000044809,NA,41.67557185,-0.318482961,0.978403292,0.003039254,0.348910977
ENSCAFG00000015452,NA,93.29343312,0.067812864,0.207182729,0.003096156,0.352750736
ENSCAFG00000002054,ADGRF5,175.0853652,0.4307749,1.413690492,0.003120225,0.352820084
ENSCAFG00000000059,SERPINB2,2562.481384,0.396471346,1.27869034,0.003320485,0.357581635
ENSCAFG00000000160,NAB2,824.516587,0.074171351,0.259176012,0.003244852,0.357581635
ENSCAFG00000002986,PUS10,230.8041478,0.081253001,0.152390462,0.003312558,0.357581635
ENSCAFG00000009410,ZDHHC13,675.1751801,-0.076815675,0.157642017,0.003349354,0.357581635
ENSCAFG00000010461,TM4SF20,6.208808681,0.203419951,0.677290478,0.003256573,0.357581635
ENSCAFG00000024614,PCDHB2,143.6236581,-0.270303671,0.865794021,0.00327261,0.357581635
ENSCAFG00000046287,NA,59.41257944,-0.103368902,0.378061439,0.003352551,0.357581635
ENSCAFG00000048394,NA,69.15909029,-0.08548839,0.310361717,0.003297953,0.357581635
ENSCAFG00000017523,PAQR5,321.4470625,0.291018466,0.937045086,0.003408092,0.360945776
